"","accuracy","precision","recall","F1","accuracyLDA","precisionLDA","recallLDA","F1LDA"
"Twitter",0.775510204081633,0,0,NA,0.775510204081633,0.375,0.333333333333333,0.352941176470588
"Youtube",0.906666666666667,0.25,0.2,0.222222222222222,0.92,0.4,0.4,0.4
"Cloudant",0.869565217391304,0.333333333333333,0.2,0.25,0.847826086956522,0.4,0.8,0.533333333333333
"Yahoo",0.888888888888889,0.5,0.25,0.333333333333333,0.824074074074074,0.347826086956522,0.666666666666667,0.457142857142857
"Instagram",0.75,0.571428571428571,1,0.727272727272727,0.75,0.571428571428571,1,0.727272727272727
"GitHub",0.727272727272727,NA,0,NA,0.763636363636364,0.583333333333333,0.466666666666667,0.518518518518519
"Facebook",0.896551724137931,0,0,NA,0.850574712643678,0.222222222222222,0.25,0.235294117647059
"Amazon",0.894736842105263,0.666666666666667,0.222222222222222,0.333333333333333,0.894736842105263,0.666666666666667,0.222222222222222,0.333333333333333
"iCloud",0.787234042553192,0.346153846153846,0.409090909090909,0.375,0.780141843971631,0.363636363636364,0.545454545454545,0.436363636363636
"SoundCloud",0.879746835443038,0.6,0.15,0.24,0.829113924050633,0.347826086956522,0.4,0.372093023255814
"Netflix",0.786885245901639,0.25,0.222222222222222,0.235294117647059,0.770491803278688,0.352941176470588,0.666666666666667,0.461538461538462
"Google",0.75,1,0.0909090909090909,0.166666666666667,0.775,0.75,0.272727272727273,0.4
