"","accuracy","precision","recall","F1","accuracyLDA","precisionLDA","recallLDA","F1LDA"
"Import_HM.Yahoo",0.685185185185185,0.228571428571429,0.533333333333333,0.32,0.694444444444444,0.285714285714286,0.8,0.421052631578947
"Import_HM.Google",0.625,0.285714285714286,0.166666666666667,0.210526315789474,0.725,0.529411764705882,0.75,0.620689655172414
"Import_HM.GitHub",0.672727272727273,0.666666666666667,0.105263157894737,0.181818181818182,0.745454545454545,0.647058823529412,0.578947368421053,0.611111111111111
"Import_HM.Twitter",0.693877551020408,0.5,0.6,0.545454545454545,0.714285714285714,0.529411764705882,0.6,0.5625
"Import_HM.Facebook",0.689655172413793,0.25,0.04,0.0689655172413793,0.689655172413793,0.45,0.36,0.4
"Import_HM.iCloud",0.624113475177305,0.228070175438596,0.590909090909091,0.329113924050633,0.645390070921986,0.28125,0.818181818181818,0.418604651162791
"Import_KS.Yahoo",0.805555555555556,0.526315789473684,0.454545454545455,0.48780487804878,0.759259259259259,0.4375,0.636363636363636,0.518518518518518
"Import_KS.Amazon",0.842105263157895,0.571428571428571,0.307692307692308,0.4,0.789473684210526,0.363636363636364,0.307692307692308,0.333333333333333
"Import_KS.Instagram",0.666666666666667,0.625,0.833333333333333,0.714285714285714,0.583333333333333,0.555555555555556,0.833333333333333,0.666666666666667
"Import_KS.Netflix",0.737704918032787,0.521739130434783,0.705882352941177,0.6,0.688524590163934,0.444444444444444,0.470588235294118,0.457142857142857
"Import_KS.Youtube",0.786666666666667,0.444444444444444,0.266666666666667,0.333333333333333,0.733333333333333,0.333333333333333,0.333333333333333,0.333333333333333
"Import_KS.iCloud",0.737588652482269,0.434782608695652,0.645161290322581,0.519480519480519,0.723404255319149,0.425925925925926,0.741935483870968,0.541176470588235
"Import_MH.Google",0.75,1,0.230769230769231,0.375,0.725,0.625,0.384615384615385,0.476190476190476
"Import_MH.SoundCloud",0.791139240506329,0.392857142857143,0.407407407407407,0.4,0.753164556962025,0.357142857142857,0.555555555555556,0.434782608695652
"Import_MH.Cloudant",0.826086956521739,0.333333333333333,0.333333333333333,0.333333333333333,0.782608695652174,0.3,0.5,0.375
"Import_MH.Netflix",0.688524590163934,0.333333333333333,0.9,0.486486486486486,0.770491803278688,0.4,0.8,0.533333333333333
"Import_MH.Facebook",0.839080459770115,0,0,NA,0.804597701149425,0,0,NA
"Import_MH.Youtube",0.893333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.88,0.363636363636364,0.666666666666667,0.470588235294118
"Import_JL.GitHub",0.690909090909091,NA,0,NA,0.672727272727273,0.428571428571429,0.176470588235294,0.25
"Import_JL.Amazon",0.868421052631579,0.571428571428571,0.363636363636364,0.444444444444444,0.75,0.277777777777778,0.454545454545455,0.344827586206897
"Import_JL.SoundCloud",0.765822784810127,0.241379310344828,0.318181818181818,0.274509803921569,0.664556962025316,0.228070175438596,0.590909090909091,0.329113924050633
"Import_JL.Twitter",0.73469387755102,0.5,0.307692307692308,0.380952380952381,0.653061224489796,0.357142857142857,0.384615384615385,0.37037037037037
"Import_JL.Cloudant",0.891304347826087,0.5,0.4,0.444444444444444,0.717391304347826,0.214285714285714,0.6,0.315789473684211
"Import_JL.Instagram",0.583333333333333,0.428571428571429,0.75,0.545454545454545,0.583333333333333,0.428571428571429,0.75,0.545454545454545
